Timestamp,Container,CPU,Mem
1771173253,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173253,axum-api_axum-api_1,75.28%,44.96MB / 8.296GB
1771173255,axum-api_redis_1,1.36%,258.9MB / 8.296GB
1771173255,axum-api_mssql_1,6.99%,921.2MB / 8.296GB
1771173255,kafka1,17.62%,847.5MB / 8.296GB
1771173255,kafka2,18.21%,1.001GB / 8.296GB
1771173255,kafka3,28.06%,1.123GB / 8.296GB
1771173255,envoy-server,0.24%,13.03MB / 8.296GB
1771173255,envoy-client,0.21%,12.53MB / 8.296GB
1771173255,kafka-cluster-ui,7.62%,335.5MB / 8.296GB
1771173255,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173255,axum-api_axum-api_1,75.55%,49.31MB / 8.296GB
